_type;_tags_website;_tags_phone;_tags_opening_hours;_tags_name:es;_tags_name;_tags_mobile;_tags_internet_access;_tags_healthcare;_tags_email;_tags_amenity;_tags_addr:street;_tags_addr:state;_tags_addr:postcode;_tags_addr:housenumber;_tags_addr:district;_tags_addr:country;_tags_addr:city;_nodes;_lon;_lat;_id;_geometry_centroid_lon;_geometry_centroid_lat;_geometry;_bounds_minlon;_bounds_minlat;_bounds_maxlon;_bounds_maxlat
way;;;;;CESFAM Jorge Sabat Gozalo;;;clinic;;clinic;Avenida Ramón Picarte;Región de Los Ríos;;2500;Valdivia;CL;Valdivia;[1194025367, 4286200872, 4286200870, 5386505053, 2190813857, 1194025367];;;208824273;-73.21593251697583;-39.832463501393406;[{'lat': -39.8319582, 'lon': -73.2158824}, {'lat': -39.8324829, 'lon': -73.2152753}, {'lat': -39.8329829, 'lon': -73.2159455}, {'lat': -39.8326352, 'lon': -73.2163498}, {'lat': -39.8324242, 'lon': -73.2166121}, {'lat': -39.8319582, 'lon': -73.2158824}];-73.2166121;-39.8329829;-73.2152753;-39.8319582
way;;;;;Centro de Diálisis;;;clinic;;clinic;Santiago Bueras;Región de Los Ríos;;884;Valdivia;CL;Valdivia;[2734727511, 2734727514, 9703850732, 9703850731, 2734727516, 2734727518, 9703850734, 9703850733, 2734727511];;;268115178;-73.24097898436331;-39.82941400313587;[{'lat': -39.8295228, 'lon': -73.2411515}, {'lat': -39.8295792, 'lon': -73.2409072}, {'lat': -39.8294634, 'lon': -73.2408619}, {'lat': -39.8294586, 'lon': -73.2408827}, {'lat': -39.8292896, 'lon': -73.2408165}, {'lat': -39.8292434, 'lon': -73.2410162}, {'lat': -39.82932, 'lon': -73.2410462}, {'lat': -39.8293145, 'lon': -73.2410699}, {'lat': -39.8295228, 'lon': -73.2411515}];-73.2411515;-39.8295792;-73.2408165;-39.8292434
way;;;;;Consultorio Angachilla;;;clinic;;clinic;Braulio León;Región de Los Ríos;;5044;Valdivia;CL;Valdivia;[3094136032, 3094136033, 3094136034, 3094136035, 7801765951, 7801765952, 3094136036, 3094136037, 3094136038, 3094136039, 3094136040, 7801765954, 7801765953, 3094136041, 3094136042, 3094136043, 3094136044, 3094136045, 3094136046, 3094136047, 3094136048, 3094136049, 3094136050, 3094136051, 3094136052, 3094136053, 3094136054, 3094136055, 3094136032];;;304816155;-73.22930765719154;-39.85377242172873;[{'lat': -39.8536543, 'lon': -73.2294377}, {'lat': -39.85359, 'lon': -73.2293883}, {'lat': -39.8536759, 'lon': -73.2291985}, {'lat': -39.8536562, 'lon': -73.2291834}, {'lat': -39.8536798, 'lon': -73.2291313}, {'lat': -39.8536912, 'lon': -73.22914}, {'lat': -39.8537206, 'lon': -73.229075}, {'lat': -39.8537428, 'lon': -73.2290921}, {'lat': -39.8537207, 'lon': -73.2291409}, {'lat': -39.8537679, 'lon': -73.2291772}, {'lat': -39.8537801, 'lon': -73.2291503}, {'lat': -39.8538143, 'lon': -73.2291766}, {'lat': -39.8538293, 'lon': -73.2291433}, {'lat': -39.8538972, 'lon': -73.2291954}, {'lat': -39.8538665, 'lon': -73.2292633}, {'lat': -39.8538358, 'lon': -73.2292398}, {'lat': -39.8538082, 'lon': -73.2293009}, {'lat': -39.853874, 'lon': -73.2293514}, {'lat': -39.8538999, 'lon': -73.2292942}, {'lat': -39.8539663, 'lon': -73.2293453}, {'lat': -39.8539371, 'lon': -73.2294098}, {'lat': -39.8539038, 'lon': -73.2293842}, {'lat': -39.8538911, 'lon': -73.2294121}, {'lat': -39.853924, 'lon': -73.2294374}, {'lat': -39.8538918, 'lon': -73.2295085}, {'lat': -39.8537168, 'lon': -73.229374}, {'lat': -39.8536937, 'lon': -73.2294251}, {'lat': -39.8536687, 'lon': -73.2294059}, {'lat': -39.8536543, 'lon': -73.2294377}];-73.2295085;-39.8539663;-73.229075;-39.85359
way;;;;;;;;;;clinic;;;;;;CL;;[4953917612, 4953917613, 4953917614, 4953917615, 4953917616, 4953917617, 4953917618, 4953917619, 4953917620, 4953917621, 4953917622, 7769030040, 7769030039, 4953917623, 1385723753, 1385723733, 1385723747, 1385723701, 1385723715, 1385723711, 1385723700, 1385723755, 4953917612];;;505437988;-73.24011341059617;-39.81884875674734;[{'lat': -39.8187618, 'lon': -73.2403355}, {'lat': -39.8187546, 'lon': -73.2404018}, {'lat': -39.819137, 'lon': -73.2404718}, {'lat': -39.8191718, 'lon': -73.2401504}, {'lat': -39.8188516, 'lon': -73.2400918}, {'lat': -39.8188579, 'lon': -73.2400336}, {'lat': -39.8189974, 'lon': -73.2400592}, {'lat': -39.8190223, 'lon': -73.2398291}, {'lat': -39.8188434, 'lon': -73.2397963}, {'lat': -39.8188297, 'lon': -73.2399229}, {'lat': -39.8187516, 'lon': -73.2399086}, {'lat': -39.8187618, 'lon': -73.2398147}, {'lat': -39.818653, 'lon': -73.2397947}, {'lat': -39.8186557, 'lon': -73.2397692}, {'lat': -39.8185214, 'lon': -73.2397446}, {'lat': -39.8185015, 'lon': -73.2399287}, {'lat': -39.818692, 'lon': -73.2399636}, {'lat': -39.81868, 'lon': -73.2400745}, {'lat': -39.8185147, 'lon': -73.2400442}, {'lat': -39.818503, 'lon': -73.2401524}, {'lat': -39.8187762, 'lon': -73.2402024}, {'lat': -39.8187672, 'lon': -73.2402859}, {'lat': -39.8187618, 'lon': -73.2403355}];-73.2404718;-39.8191718;-73.2397446;-39.8185015
way;;;;;;;;;;clinic;;;;;;CL;;[7769030044, 4953917625, 4953917626, 4585895700, 2190831019, 7769030043, 7769030042, 7769030044];;;505437989;-73.23958479749301;-39.81886349775973;[{'lat': -39.8187502, 'lon': -73.239637}, {'lat': -39.818959, 'lon': -73.2396798}, {'lat': -39.8189768, 'lon': -73.2395326}, {'lat': -39.8188685, 'lon': -73.2395104}, {'lat': -39.8188153, 'lon': -73.2394995}, {'lat': -39.8187687, 'lon': -73.2394899}, {'lat': -39.818768, 'lon': -73.2394898}, {'lat': -39.8187502, 'lon': -73.239637}];-73.2396798;-39.8189768;-73.2394898;-39.8187502
way;;;;;Centro Clínico Militar Valdivia;;;hospital;;clinic;Oróstegui;Región de Los Ríos;;;Valdivia;CL;Valdivia;[5346974558, 5346974556, 5308868012, 8772111620, 8071986793, 5308868013, 8071986797, 5346974554, 5346974555, 5346974558];;;554007995;-73.23180038906727;-39.823647822171665;[{'lat': -39.8241441, 'lon': -73.2322911}, {'lat': -39.8239308, 'lon': -73.231127}, {'lat': -39.8239087, 'lon': -73.2311315}, {'lat': -39.8238024, 'lon': -73.2311583}, {'lat': -39.823708, 'lon': -73.2311813}, {'lat': -39.8236439, 'lon': -73.2311914}, {'lat': -39.8232217, 'lon': -73.2312819}, {'lat': -39.8231819, 'lon': -73.2313413}, {'lat': -39.8233328, 'lon': -73.2324593}, {'lat': -39.8241441, 'lon': -73.2322911}];-73.2324593;-39.8241441;-73.231127;-39.8231819
way;;;;;Centro Salud Familiar Collico;;;clinic;;clinic;Avenida Balmaceda;Región de Los Ríos;;;Valdivia;CL;Valdivia;[2030083562, 5262977603, 5408103357, 2030083547, 2030083562];;;560802244;-73.20851064877316;-39.804603949784976;[{'lat': -39.8047802, 'lon': -73.2080084}, {'lat': -39.8044639, 'lon': -73.2080321}, {'lat': -39.804406, 'lon': -73.2089815}, {'lat': -39.8047645, 'lon': -73.2089798}, {'lat': -39.8047802, 'lon': -73.2080084}];-73.2089815;-39.8047802;-73.2080084;-39.804406
way;;;;;Mutual de Seguridad de Valdivia;;;clinic;;clinic;Avenida Arturo Prat;Región de Los Ríos;;1005;Valdivia;CL;Valdivia;[6093311524, 6093311525, 6356726510, 6356726509, 6093311526, 6093311527, 6356726508, 6356726507, 6093311524];;;649229130;-73.23400532268708;-39.81580006483666;[{'lat': -39.8155143, 'lon': -73.2339251}, {'lat': -39.8156299, 'lon': -73.2337042}, {'lat': -39.8160932, 'lon': -73.2341153}, {'lat': -39.8160654, 'lon': -73.2341684}, {'lat': -39.8160836, 'lon': -73.2341845}, {'lat': -39.8160218, 'lon': -73.2343026}, {'lat': -39.8158247, 'lon': -73.2341277}, {'lat': -39.8157986, 'lon': -73.2341774}, {'lat': -39.8155143, 'lon': -73.2339251}];-73.2343026;-39.8160932;-73.2337042;-39.8155143
way;;;;;Consalud;;;clinic;;clinic;Avenida Alemania;;;475;;CL;Valdivia;[7732877208, 6231082814, 6231082815, 7732877206, 7732877205, 7732877204, 7732877203, 7732877208];;;828332217;-73.24268450657631;-39.81303617108532;[{'lat': -39.8129045, 'lon': -73.2427404}, {'lat': -39.8129377, 'lon': -73.2425195}, {'lat': -39.8130502, 'lon': -73.2425501}, {'lat': -39.8130561, 'lon': -73.2425506}, {'lat': -39.8130378, 'lon': -73.242683}, {'lat': -39.8132266, 'lon': -73.2427273}, {'lat': -39.8132148, 'lon': -73.2428131}, {'lat': -39.8129045, 'lon': -73.2427404}];-73.2428131;-39.8132266;-73.2425195;-39.8129045
way;;;;;CECOSF Gil de Castro;;;clinic;;clinic;;;;;;;Valdivia;[8613338432, 8613338431, 8613338430, 8613338429, 8613338432];;;928651792;-73.20513147696073;-39.82959521399191;[{'lat': -39.8297223, 'lon': -73.2052829}, {'lat': -39.8295695, 'lon': -73.2049097}, {'lat': -39.8294681, 'lon': -73.2049801}, {'lat': -39.829621, 'lon': -73.2053533}, {'lat': -39.8297223, 'lon': -73.2052829}];-73.2053533;-39.8297223;-73.2049097;-39.8294681
way;;;;;CESFAM Angachilla;;;clinic;;clinic;Santa Martina;Región de Los Ríos;;3821;Valdivia;CL;Valdivia;[9355630117, 9355622688, 9355622716, 9355622687, 7294615761, 7294615762, 9355622715, 9355622714, 7294615755, 7294615756, 9355622713, 9355622712, 9355622711, 9355622710, 9355630117];;;1014047675;-73.22337413766576;-39.84969423736696;[{'lat': -39.8496909, 'lon': -73.2227814}, {'lat': -39.8499529, 'lon': -73.2229873}, {'lat': -39.8500679, 'lon': -73.2230747}, {'lat': -39.8499074, 'lon': -73.2234333}, {'lat': -39.849748, 'lon': -73.2237748}, {'lat': -39.8497027, 'lon': -73.2238732}, {'lat': -39.8496402, 'lon': -73.2239937}, {'lat': -39.8493557, 'lon': -73.2237716}, {'lat': -39.8493836, 'lon': -73.2237108}, {'lat': -39.8494517, 'lon': -73.2235628}, {'lat': -39.8494781, 'lon': -73.2235056}, {'lat': -39.8494238, 'lon': -73.2234633}, {'lat': -39.8495052, 'lon': -73.2232864}, {'lat': -39.8494708, 'lon': -73.2232595}, {'lat': -39.8496909, 'lon': -73.2227814}];-73.2239937;-39.8500679;-73.2227814;-39.8493557
way;;;;;;;;clinic;;clinic;Lago Verde;;;;;;Valdivia;[11636510734, 11636510735, 11636510736, 11636510737, 11636510738, 11636510739, 11636510734];;;1251881924;-73.21807097626242;-39.83763446259507;[{'lat': -39.8376212, 'lon': -73.2181776}, {'lat': -39.8375826, 'lon': -73.218008}, {'lat': -39.8376607, 'lon': -73.2179778}, {'lat': -39.8376824, 'lon': -73.2180729}, {'lat': -39.8376554, 'lon': -73.2180833}, {'lat': -39.8376724, 'lon': -73.2181578}, {'lat': -39.8376212, 'lon': -73.2181776}];-73.2181776;-39.8376824;-73.2179778;-39.8375826
node;;+56632207040;;;Clínica Dental Chacabuco;+56992717874;;dentist;;dentist;Chacabuco;Región de Los Ríos;;;Valdivia;CL;Valdivia;;-73.2451214;-39.8130216;4330174874;;;;;;;
node;;;;;Centro Odontológico COAP;;;dentist;;dentist;Aníbal Pinto;Región de Los Ríos;;2023;Valdivia;CL;Valdivia;;-73.2405901;-39.8288695;5287949727;;;;;;;
node;;;;;Odonto Sur Clinica Dental;;;dentist;;dentist;Avenida Simpson;Región de Los Ríos;;970;Valdivia;CL;Valdivia;;-73.23909;-39.8323238;5287949740;;;;;;;
node;;;;;Urgencia Dental;;;dentist;;dentist;Avenida Ramón Picarte;Región de Los Ríos;;2500;Valdivia;CL;Valdivia;;-73.2162562;-39.8323842;5386371944;;;;;;;
node;https://www.druribe.cl/;+56 9 4546 5159;Mo-Su 09:00-19:00;;Instituto de Radiología Dental Dr. Uribe;;;dentist;radiologia@druribe.cl;dentist;San Carlos;Región de Los Ríos;;171;Valdivia;CL;Valdivia;;-73.2473063;-39.8158548;6322176993;;;;;;;
node;;;;;;;;dentist;;dentist;Avenida Ramón Picarte;Región de Los Ríos;;;Valdivia;CL;Valdivia;;-73.2437431;-39.814535;7891926224;;;;;;;
node;;936381735;;;Consulta dental Dra. Arévalo;;;dentist;;dentist;;;;;;;;;-73.2436541;-39.8145376;11055856619;;;;;;;
way;;;;;;;;dentist;;dentist;Vicente Pérez Rosales;Región de Los Ríos;;721;Valdivia;CL;Valdivia;[1493340265, 1493340400, 1493340364, 1493340263, 1493340411, 1493340278, 1493340265];;;136087736;-73.24701333264423;-39.81646381642339;[{'lat': -39.8163916, 'lon': -73.2469159}, {'lat': -39.8165811, 'lon': -73.2469741}, {'lat': -39.8165599, 'lon': -73.2470911}, {'lat': -39.8164122, 'lon': -73.2470458}, {'lat': -39.8163978, 'lon': -73.2471251}, {'lat': -39.816356, 'lon': -73.2471122}, {'lat': -39.8163916, 'lon': -73.2469159}];-73.2471251;-39.8165811;-73.2469159;-39.816356
way;;;;;Centro Odontológico Costanera;;;clinic;;dentist;Avenida Arturo Prat;Región de Los Ríos;;799;Valdivia;CL;Valdivia;[5691673205, 5691673206, 5691673207, 8645648731, 8645648730, 5691673208, 5691673205];;;597913579;-73.23704504755852;-39.81332403137384;[{'lat': -39.8133482, 'lon': -73.237242}, {'lat': -39.8131875, 'lon': -73.2370298}, {'lat': -39.8133371, 'lon': -73.2368377}, {'lat': -39.8134025, 'lon': -73.2369239}, {'lat': -39.813357, 'lon': -73.2369823}, {'lat': -39.8134524, 'lon': -73.2371081}, {'lat': -39.8133482, 'lon': -73.237242}];-73.237242;-39.8134524;-73.2368377;-39.8131875
way;;;;;Uno Salud;;;dentist;;dentist;Avenida Alemania;;;;;;Valdivia;[6231082815, 6231082814, 6231082810, 6231082809, 6231082815];;;665686440;-73.24242602859864;-39.813011403732055;[{'lat': -39.8130502, 'lon': -73.2425501}, {'lat': -39.8129377, 'lon': -73.2425195}, {'lat': -39.8129726, 'lon': -73.242302}, {'lat': -39.8130851, 'lon': -73.2423325}, {'lat': -39.8130502, 'lon': -73.2425501}];-73.2425501;-39.8130851;-73.242302;-39.8129377
way;;;;;Clínica España;;;dentist;;dentist;Avenida Italia;Región de Los Ríos;;;Valdivia;CL;Valdivia;[7324047392, 7324047393, 7324047394, 7324047395, 7324047396, 7324047397, 7324047392];;;784071934;-73.23840101036116;-39.83407285977427;[{'lat': -39.8341433, 'lon': -73.2384015}, {'lat': -39.8340961, 'lon': -73.2383172}, {'lat': -39.8340022, 'lon': -73.2384064}, {'lat': -39.8340451, 'lon': -73.2384829}, {'lat': -39.8340924, 'lon': -73.238438}, {'lat': -39.8340968, 'lon': -73.2384458}, {'lat': -39.8341433, 'lon': -73.2384015}];-73.2384829;-39.8341433;-73.2383172;-39.8340022
way;;;;;Hospital Regional de Valdivia;;;hospital;;hospital;Santiago Bueras;Región de Los Ríos;;1003;Valdivia;CL;Valdivia;[7719141566, 7719141565, 1329492781, 7717734766, 7727412760, 1329492736, 1329492789, 1415762881, 1415762890, 1415762876, 1415762887, 1415762868, 12352421452, 1415762879, 1415762880, 1415762882, 5600964198, 7729875853, 1415762883, 1415762888, 1752167884, 1415762874, 1415762889, 1329492721, 7729725467, 1329492756, 7727412766, 7719141566];;;128031984;-73.24019775978796;-39.83156600580896;[{'lat': -39.8314741, 'lon': -73.238992}, {'lat': -39.8311818, 'lon': -73.2387624}, {'lat': -39.8309299, 'lon': -73.2385713}, {'lat': -39.8308602, 'lon': -73.2386416}, {'lat': -39.8305006, 'lon': -73.2390246}, {'lat': -39.8303668, 'lon': -73.239168}, {'lat': -39.8301538, 'lon': -73.2396063}, {'lat': -39.8299008, 'lon': -73.240643}, {'lat': -39.8299269, 'lon': -73.2407266}, {'lat': -39.8310491, 'lon': -73.2411416}, {'lat': -39.8315604, 'lon': -73.2413104}, {'lat': -39.8318446, 'lon': -73.2413605}, {'lat': -39.8320156, 'lon': -73.2413778}, {'lat': -39.8321118, 'lon': -73.2413781}, {'lat': -39.8324382, 'lon': -73.2413714}, {'lat': -39.8327734, 'lon': -73.2412868}, {'lat': -39.832881, 'lon': -73.2412738}, {'lat': -39.8329181, 'lon': -73.241267}, {'lat': -39.832925, 'lon': -73.2412906}, {'lat': -39.8330436, 'lon': -73.2412409}, {'lat': -39.8331957, 'lon': -73.2411549}, {'lat': -39.8332585, 'lon': -73.2411193}, {'lat': -39.8334185, 'lon': -73.240977}, {'lat': -39.8334329, 'lon': -73.2409128}, {'lat': -39.832401, 'lon': -73.2391495}, {'lat': -39.8323868, 'lon': -73.2391252}, {'lat': -39.832076, 'lon': -73.2394566}, {'lat': -39.8314741, 'lon': -73.238992}];-73.2413781;-39.8334329;-73.2385713;-39.8299008
